DisCo,YearMonth,EnergyReceived_GWh,ATCC_Losses_pct,BillingEfficiency_pct,Month,Year,Quarter,ER_roll_mean,ER_roll_std,ATCC_roll_mean,ATCC_roll_std,ER_zscore,ATCC_zscore,outage_risk_label
Abuja,2019-01-01,326.0,42.66765684233405,80.06134969325154,1,2019,1,,,,,,,
Abuja,2019-02-01,304.0,38.36865189289012,84.86842105263158,2,2019,1,,,,,,,
Abuja,2019-03-01,372.0,44.8448652018077,85.21505376344086,3,2019,1,315.0,15.556349186104045,40.518154367612084,3.039855552106331,3.6640987752393825,1.4233277733205503,0.0
Abuja,2019-04-01,357.0,38.86338071485462,77.03081232492998,4,2019,2,334.0,34.698703145794944,41.96039131234395,3.2955277427271663,0.6628489803598702,-0.9397616525377643,0.0
Abuja,2019-05-01,313.0,45.77048545894704,71.24600638977637,5,2019,2,344.3333333333333,35.725807665234576,40.692299269850814,3.6047249570885893,-0.8770503840512007,1.408758296277257,0.0
Abuja,2019-06-01,303.0,37.48647140648217,74.58745874587459,6,2019,2,347.3333333333333,30.6648550189518,43.15957712520312,3.7492893876473623,-1.4457375815386697,-1.5131149218334319,0.0
Abuja,2019-07-01,310.0,45.17326383997745,77.74193548387098,7,2019,3,324.3333333333333,28.728615235220314,40.70677919342794,4.439010100063272,-0.49892183162943166,1.0061893408365632,0.0
Abuja,2019-08-01,291.0,38.24347395025854,79.72508591065292,8,2019,3,308.6666666666667,5.131601439446783,42.81007356846889,4.620034999853721,-3.4427199530467156,-0.9884339876981308,1.0
Abuja,2019-09-01,286.0,42.3209751694429,73.77622377622379,9,2019,3,301.3333333333333,9.609023536932991,40.30106973223939,4.236386405939521,-1.5957223202127164,0.4767991499480675,1.0
Abuja,2019-10-01,298.0,38.93833036570333,76.51006711409396,10,2019,4,295.6666666666667,12.662279942148347,41.912570986559636,3.4829000073731686,0.1842743442724288,-0.8539552139194209,0.0
Abuja,2019-11-01,322.0,37.814114953744536,75.15527950310559,11,2019,4,291.6666666666667,6.027713773341632,39.834259828468255,2.1814035045814535,5.032311498844972,-0.9260757445749704,0.0
Abuja,2019-12-01,312.0,42.160069734091906,77.56410256410257,12,2019,4,302.0,18.330302779823334,39.69114016296359,2.345845091667292,0.5455447255899817,1.052469142100743,0.0
Abuja,2020-01-01,311.0,37.2759075691736,76.52733118971061,1,2020,1,310.6666666666667,12.055427546683378,39.63750501784659,2.2557625393325083,0.02765006318046507,-1.0469175755404663,0.0
